-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in UTC
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M_MIN
-2.0,46.875,2025,1,26.98
-2.0,47.5,2025,1,27.05
-2.0,48.125,2025,1,27.08
-2.0,48.75,2025,1,27.03
-2.0,49.375,2025,1,26.86
-2.0,50.0,2025,1,26.58
-2.0,50.625,2025,1,26.52
-2.0,51.25,2025,1,26.58
-2.0,51.875,2025,1,26.75
-1.5,46.875,2025,1,26.86
-1.5,47.5,2025,1,26.99
-1.5,48.125,2025,1,26.99
-1.5,48.75,2025,1,26.84
-1.5,49.375,2025,1,26.8
-1.5,50.0,2025,1,26.57
-1.5,50.625,2025,1,26.25
-1.5,51.25,2025,1,26.24
-1.5,51.875,2025,1,26.32
-1.0,46.875,2025,1,26.78
-1.0,47.5,2025,1,26.92
-1.0,48.125,2025,1,26.91
-1.0,48.75,2025,1,26.58
-1.0,49.375,2025,1,26.63
-1.0,50.0,2025,1,26.5
-1.0,50.625,2025,1,26.21
-1.0,51.25,2025,1,26.28
-1.0,51.875,2025,1,26.36
-0.5,46.875,2025,1,26.63
-0.5,47.5,2025,1,26.8
-0.5,48.125,2025,1,26.68
-0.5,48.75,2025,1,26.46
-0.5,49.375,2025,1,26.47
-0.5,50.0,2025,1,26.41
-0.5,50.625,2025,1,26.36
-0.5,51.25,2025,1,26.5
-0.5,51.875,2025,1,26.52
-1.7975103014118005e-13,46.875,2025,1,26.4
-1.7975103014118005e-13,47.5,2025,1,26.5
-1.7975103014118005e-13,48.125,2025,1,26.47
-1.7975103014118005e-13,48.75,2025,1,26.39
-1.7975103014118005e-13,49.375,2025,1,26.52
-1.7975103014118005e-13,50.0,2025,1,26.37
-1.7975103014118005e-13,50.625,2025,1,26.53
-1.7975103014118005e-13,51.25,2025,1,26.57
-1.7975103014118005e-13,51.875,2025,1,26.5
0.5,46.875,2025,1,26.16
0.5,47.5,2025,1,26.24
0.5,48.125,2025,1,26.21
0.5,48.75,2025,1,26.41
0.5,49.375,2025,1,26.33
0.5,50.0,2025,1,26.29
0.5,50.625,2025,1,26.39
0.5,51.25,2025,1,26.3
0.5,51.875,2025,1,26.46
1.0,46.875,2025,1,26.06
1.0,47.5,2025,1,26.05
1.0,48.125,2025,1,26.1
1.0,48.75,2025,1,26.21
1.0,49.375,2025,1,26.18
1.0,50.0,2025,1,26.21
1.0,50.625,2025,1,26.18
1.0,51.25,2025,1,26.3
1.0,51.875,2025,1,26.45
1.5,46.875,2025,1,26.03
1.5,47.5,2025,1,26.0
1.5,48.125,2025,1,26.0
1.5,48.75,2025,1,26.03
1.5,49.375,2025,1,26.08
1.5,50.0,2025,1,26.17
1.5,50.625,2025,1,26.18
1.5,51.25,2025,1,26.32
1.5,51.875,2025,1,26.44
2.0,46.875,2025,1,25.97
2.0,47.5,2025,1,25.94
2.0,48.125,2025,1,25.97
2.0,48.75,2025,1,25.99
2.0,49.375,2025,1,26.01
2.0,50.0,2025,1,25.97
2.0,50.625,2025,1,26.19
2.0,51.25,2025,1,26.25
2.0,51.875,2025,1,26.34
2.5,46.875,2025,1,25.97
2.5,47.5,2025,1,25.86
2.5,48.125,2025,1,25.85
2.5,48.75,2025,1,25.88
2.5,49.375,2025,1,25.94
2.5,50.0,2025,1,25.81
2.5,50.625,2025,1,26.02
2.5,51.25,2025,1,26.19
2.5,51.875,2025,1,26.21
3.0,46.875,2025,1,25.5
3.0,47.5,2025,1,25.83
3.0,48.125,2025,1,25.77
3.0,48.75,2025,1,25.78
3.0,49.375,2025,1,25.88
3.0,50.0,2025,1,25.83
3.0,50.625,2025,1,25.91
3.0,51.25,2025,1,26.16
3.0,51.875,2025,1,26.13
3.5,46.875,2025,1,22.57
3.5,47.5,2025,1,25.71
3.5,48.125,2025,1,25.75
3.5,48.75,2025,1,25.72
3.5,49.375,2025,1,25.82
3.5,50.0,2025,1,25.85
3.5,50.625,2025,1,25.82
3.5,51.25,2025,1,26.14
3.5,51.875,2025,1,26.14
4.0,46.875,2025,1,20.68
4.0,47.5,2025,1,23.79
4.0,48.125,2025,1,25.8
4.0,48.75,2025,1,25.69
4.0,49.375,2025,1,25.77
4.0,50.0,2025,1,25.85
4.0,50.625,2025,1,25.77
4.0,51.25,2025,1,26.05
4.0,51.875,2025,1,26.17
4.5,46.875,2025,1,20.79
4.5,47.5,2025,1,21.1
4.5,48.125,2025,1,25.1
4.5,48.75,2025,1,25.8
4.5,49.375,2025,1,25.69
4.5,50.0,2025,1,25.75
4.5,50.625,2025,1,25.82
4.5,51.25,2025,1,25.96
4.5,51.875,2025,1,26.14
5.0,46.875,2025,1,20.37
5.0,47.5,2025,1,20.56
5.0,48.125,2025,1,22.72
5.0,48.75,2025,1,25.74
5.0,49.375,2025,1,25.74
5.0,50.0,2025,1,25.77
5.0,50.625,2025,1,25.82
5.0,51.25,2025,1,25.89
5.0,51.875,2025,1,26.03
-2.0,46.875,2025,2,27.14
-2.0,47.5,2025,2,27.33
-2.0,48.125,2025,2,27.12
-2.0,48.75,2025,2,27.12
-2.0,49.375,2025,2,27.08
-2.0,50.0,2025,2,26.83
-2.0,50.625,2025,2,26.64
-2.0,51.25,2025,2,26.6
-2.0,51.875,2025,2,26.36
-1.5,46.875,2025,2,27.08
-1.5,47.5,2025,2,27.19
-1.5,48.125,2025,2,26.83
-1.5,48.75,2025,2,26.83
-1.5,49.375,2025,2,26.54
-1.5,50.0,2025,2,26.19
-1.5,50.625,2025,2,26.18
-1.5,51.25,2025,2,26.21
-1.5,51.875,2025,2,26.24
-1.0,46.875,2025,2,26.91
-1.0,47.5,2025,2,26.71
-1.0,48.125,2025,2,26.44
-1.0,48.75,2025,2,26.38
-1.0,49.375,2025,2,26.24
-1.0,50.0,2025,2,26.1
-1.0,50.625,2025,2,26.1
-1.0,51.25,2025,2,26.08
-1.0,51.875,2025,2,26.11
-0.5,46.875,2025,2,26.43
-0.5,47.5,2025,2,26.38
