district_id,district_name,region_id,region_name,date,ndvi_mean,ndvi_median,evi_mean,evi_median,valid_pixel_fraction,good_pixel_count,marginal_pixel_fraction,cloudy_pixel_fraction,qa_rule,source_version
SO1102,Baki,SO11,Awdal,2023-10-16,0.15427751227495912,0.1341,0.1072924386252046,0.0976,0.7989016736401674,3055,0.05360878661087866,0.0018305439330543933,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO1101,Borama,SO11,Awdal,2023-10-16,0.24917380314055917,0.24280000000000002,0.16638789735733436,0.1653,0.7137780207763805,2611,0.0,0.0,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO1103,Lughaye,SO11,Awdal,2023-10-16,0.11519562182741118,0.1119,0.08419555837563453,0.08255000000000001,0.39828152640889564,1576,0.3206974981046247,0.011624968410411928,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO1104,Zeylac,SO11,Awdal,2023-10-16,0.13477964458804526,0.124,0.08789819063004846,0.0799,0.42045917674229044,3095,0.28895530498573563,0.00760766200244532,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2502,Ceel Barde,SO25,Bakool,2023-10-16,0.360156394129979,0.341,0.2247876310272537,0.2142,0.10669947433173023,954,0.2702158595235432,0.3142825187339224,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2505,Rab Dhuure,SO25,Bakool,2023-10-16,0.24969169741697417,0.24225000000000002,0.13952915129151294,0.1343,0.28563899868247694,1084,0.17839262187088273,0.23768115942028986,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2503,Tayeeglow,SO25,Bakool,2023-10-16,0.43574799999999997,0.4239,0.2504,0.25670000000000004,0.0033187309172972254,25,0.38059206159564585,0.27731315544935614,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2504,Waajid,SO25,Bakool,2023-10-16,0.3917793592436975,0.38730000000000003,0.23294128151260507,0.2353,0.5937012784533833,1904,0.11069535391331463,0.02369816027439975,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2501,Xudur,SO25,Bakool,2023-10-16,0.3782194325021496,0.37920000000000004,0.2175299226139295,0.2124,0.17922638310987826,1163,0.38295577130528585,0.07227615965480043,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2201,Bondhere,SO22,Banadir,2023-10-16,,,,,0.0,0,0.14285714285714285,0.5714285714285714,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2202,Cabdulasis,SO22,Banadir,2023-10-16,,,,,0.0,0,0.0,0.0,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2203,Daynile,SO22,Banadir,2023-10-16,,,,,0.0,0,0.12121212121212122,0.5454545454545454,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2204,Dharkenley,SO22,Banadir,2023-10-16,,,,,0.0,0,0.25,0.375,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2205,Hamar Jabjab,SO22,Banadir,2023-10-16,,,,,0.0,0,0.0,0.0,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2206,Hamar Weyne,SO22,Banadir,2023-10-16,,,,,0.0,0,0.0,0.5,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2207,Hawl Wadaag,SO22,Banadir,2023-10-16,,,,,0.0,0,0.38461538461538464,0.15384615384615385,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2208,Heliwa,SO22,Banadir,2023-10-16,0.20395000000000002,0.20395000000000002,0.15400000000000003,0.15400000000000003,0.18181818181818182,2,0.18181818181818182,0.09090909090909091,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2209,Hodan,SO22,Banadir,2023-10-16,,,,,0.0,0,0.6,0.2,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2210,Kahda,SO22,Banadir,2023-10-16,,,,,0.0,0,0.3055555555555556,0.5833333333333334,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2211,Karaan,SO22,Banadir,2023-10-16,0.1993666666666667,0.1973,0.14786666666666667,0.14170000000000002,0.10714285714285714,3,0.42857142857142855,0.03571428571428571,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2212,Shangaani,SO22,Banadir,2023-10-16,,,,,0.0,0,0.0,0.0,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2213,Shibis,SO22,Banadir,2023-10-16,,,,,0.0,0,0.0,0.5,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
Unspecified,Unspecified,SO22,Banadir,2023-10-16,0.19428181818181817,0.1978,0.14807272727272727,0.1481,0.19642857142857142,33,0.20238095238095238,0.1130952380952381,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2214,Waaberi,SO22,Banadir,2023-10-16,,,,,0.0,0,0.0,0.5555555555555556,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2215,Wadajir (Medina),SO22,Banadir,2023-10-16,0.1771,0.156,0.12283999999999999,0.11660000000000001,0.16129032258064516,5,0.3548387096774194,0.06451612903225806,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2216,Wardhigley,SO22,Banadir,2023-10-16,,,,,0.0,0,0.36363636363636365,0.18181818181818182,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2217,Yaaqshid,SO22,Banadir,2023-10-16,,,,,0.0,0,0.8571428571428571,0.0,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO1602,Bandarbeyla,SO16,Bari,2023-10-16,0.15669689861871253,0.1526,0.11841673182173575,0.1149,0.2912997266929851,3837,0.3916641360461585,0.008578803522623748,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO1601,Bossaso,SO16,Bari,2023-10-16,0.17358631787126932,0.1557,0.12251530025170802,0.11470000000000001,0.6151293961512939,5562,0.163680601636806,0.00387082503870825,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO1603,Caluula,SO16,Bari,2023-10-16,0.20464555442003066,0.19535000000000002,0.13403645886561064,0.1297,0.7319992519169628,3914,0.08752571535440434,0.005236581260519918,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO1604,Iskushuban,SO16,Bari,2023-10-16,0.15794853212216958,0.15360000000000001,0.12314658372827805,0.1206,0.7038873187230691,15192,0.13913728397349767,0.005420933141824584,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO1605,Qandala,SO16,Bari,2023-10-16,0.2127694728033473,0.21000000000000002,0.14578890376569037,0.14550000000000002,0.6675977653631285,5975,0.21798882681564247,0.000111731843575419,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO1606,Qardho,SO16,Bari,2023-10-16,0.1501993945639572,0.1467,0.11104147236892954,0.108,0.7112882536192047,15526,0.15214403518416714,0.0,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2401,Baydhaba,SO24,Bay,2023-10-16,0.48509143051462256,0.505,0.25889483110405803,0.2747,0.29272015395845774,4411,0.3221846174265047,0.07425841130798327,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2402,Buur Hakaba,SO24,Bay,2023-10-16,0.45839917661097856,0.4592,0.2585615990453461,0.26080000000000003,0.40011459129106186,8380,0.18305958747135218,0.13254392666157372,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2403,Diinsoor,SO24,Bay,2023-10-16,0.5261384453781514,0.5409,0.3282256426099852,0.3411,0.7158527954706299,8092,0.07864472753007785,0.00999646142958245,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2404,Qansax Dheere,SO24,Bay,2023-10-16,0.4911746957403651,0.5149,0.2811846348884381,0.29215,0.5144795199582572,1972,0.10957474563005479,0.10748760761805375,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO1902,Cabudwaaq,SO19,Galgaduud,2023-10-16,0.25226711229946525,0.24050000000000002,0.15484465240641712,0.14750000000000002,0.05024180548092423,374,0.4595647501343364,0.1578452444922085,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO1903,Cadaado,SO19,Galgaduud,2023-10-16,0.20373587443946187,0.202,0.13936860986547087,0.1363,0.03005795929370535,223,0.4979107696455048,0.1957137080469066,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO1904,Ceel Buur,SO19,Galgaduud,2023-10-16,0.28402705436156767,0.27645000000000003,0.17750556257901393,0.1711,0.10319634703196347,1582,0.29497716894977166,0.23176777560339204,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO1905,Ceel Dheer,SO19,Galgaduud,2023-10-16,0.24920250152532034,0.2591,0.16368596705308114,0.17420000000000002,0.134531724534187,1639,0.3060001641631782,0.17122219486169252,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO1901,Dhuusamarreeb,SO19,Galgaduud,2023-10-16,0.2590076672104405,0.2509,0.16617292006525286,0.16490000000000002,0.04086939129275285,613,0.3492899526635109,0.2522834855657044,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2602,Baardheere,SO26,Gedo,2023-10-16,0.4512625806451613,0.45580000000000004,0.2810042064516129,0.2773,0.21870414267976068,3875,0.18613839033750987,0.2577040298002032,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2603,Belet Xaawo,SO26,Gedo,2023-10-16,0.33380576407506707,0.30925,0.19486353887399463,0.17985,0.1691993649353595,746,0.29349058743479245,0.11453844409163076,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2604,Ceel Waaq,SO26,Gedo,2023-10-16,0.5160419679905158,0.5187,0.3006100770598696,0.2974,0.18206345780271962,1687,0.23246276710554717,0.2200518022879344,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2605,Doolow,SO26,Gedo,2023-10-16,0.23091223021582735,0.23275,0.14147014388489207,0.13965,0.14464099895941726,278,0.28199791883454733,0.18938605619146723,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2601,Garbahaarey,SO26,Gedo,2023-10-16,0.3737701928227103,0.35665,0.21610184788430642,0.20800000000000002,0.37970307097823874,3734,0.23378076062639822,0.06497864551555826,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2606,Luuq,SO26,Gedo,2023-10-16,0.3324912354804646,0.3062,0.20139248755468397,0.18460000000000001,0.6688527898294824,6629,0.09262435677530018,0.020684088386641104,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2001,Belet Weyne,SO20,Hiraan,2023-10-16,0.33250299455535387,0.32705,0.1953719600725953,0.193,0.0635671435163821,1102,0.3701545916012921,0.23102215043839408,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2002,Bulo Burto,SO20,Hiraan,2023-10-16,0.3850501084076127,0.3891,0.21267937846302098,0.21710000000000002,0.220469513490546,4151,0.35404716379859785,0.07494157637561079,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2003,Jalalaqsi,SO20,Hiraan,2023-10-16,0.34197364532019703,0.34750000000000003,0.19178206896551725,0.19890000000000002,0.553133514986376,2030,0.11961852861035423,0.040326975476839236,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2802,Afmadow,SO28,Lower Juba,2023-10-16,0.408696879875195,0.3637,0.25625202808112324,0.22415000000000002,0.04117552593544243,1282,0.31337722819977515,0.3172635297896258,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2803,Badhaadhe,SO28,Lower Juba,2023-10-16,0.372812380952381,0.35385,0.23112285714285716,0.21585000000000001,0.01813001813001813,210,0.31572131572131573,0.3041526374859708,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2804,Jamaame,SO28,Lower Juba,2023-10-16,0.2721755395683454,0.2513,0.1700748201438849,0.1553,0.05448843590748726,139,0.31007448059584475,0.26421011368090946,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2801,Kismaayo,SO28,Lower Juba,2023-10-16,0.3112156862745098,0.2953,0.19647986928104577,0.1764,0.06834628785848298,765,0.3053694273206468,0.234700259090503,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
