date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,canonical_region_id,canonical_district_id,source_dataset
1996-01-15,Juba Hoose,Kismaayo,Kismayo,2105,-0.36,42.55,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,6000.0,2.29,SO28,SO2801,WFP Somalia Food Prices via HDX
1996-01-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,97.0,0.037,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-01-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,248.0,0.095,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-01-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,122.0,0.047,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-02-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,162.0,0.062,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-02-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,331.0,0.13,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-02-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,208.0,0.079,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-02-15,Banadir,Banadir,Bakaara,6634,2.05,45.32,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1250.0,0.48,SO22,,WFP Somalia Food Prices via HDX
1996-02-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1350.0,0.52,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-02-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,4050.0,1.55,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-02-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1100.0,0.42,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-02-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,144.0,0.055,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-02-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,282.0,0.11,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-02-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,129.0,0.049,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-03-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,288.0,0.11,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-03-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,529.0,0.2,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-03-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,269.0,0.1,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-03-15,Banadir,Banadir,Bakaara,6634,2.05,45.32,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1250.0,0.48,SO22,,WFP Somalia Food Prices via HDX
1996-03-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1300.0,0.5,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-03-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,4600.0,1.76,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-03-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1100.0,0.42,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-03-15,Juba Hoose,Kismaayo,Kismayo,2105,-0.36,42.55,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,3000.0,1.15,SO28,SO2801,WFP Somalia Food Prices via HDX
1996-03-15,Juba Hoose,Kismaayo,Kismayo,2105,-0.36,42.55,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,5250.0,2.0,SO28,SO2801,WFP Somalia Food Prices via HDX
1996-03-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,245.0,0.094,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-03-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,400.0,0.15,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-04-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,305.0,0.12,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-04-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,688.0,0.26,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-04-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,330.0,0.13,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-04-15,Banadir,Banadir,Bakaara,6634,2.05,45.32,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1750.0,0.67,SO22,,WFP Somalia Food Prices via HDX
1996-04-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1333.0,0.51,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-04-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,3533.0,1.35,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-04-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1167.0,0.45,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-04-15,Juba Hoose,Kismaayo,Kismayo,2105,-0.36,42.55,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,3250.0,1.24,SO28,SO2801,WFP Somalia Food Prices via HDX
1996-04-15,Juba Hoose,Kismaayo,Kismayo,2105,-0.36,42.55,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,4500.0,1.72,SO28,SO2801,WFP Somalia Food Prices via HDX
1996-04-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,402.0,0.15,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-04-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,593.0,0.23,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-04-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,354.0,0.14,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-05-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,600.0,0.23,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-05-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,1050.0,0.4,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-05-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,459.0,0.18,SO11,SO1101,WFP Somalia Food Prices via HDX
