risk_type,geography_type,geography_id,as_of_date,risk_probability,risk_level,population_context,population_potentially_exposed,exposure_method,source_version,model_version,quality_status
DROUGHT,DISTRICT,SO2604,2025-12-18,0.659217877094972,SEVERE,101679.805,101679.805,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO2605,2025-12-18,0.6428571428571429,SEVERE,94299.75,94299.75,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO2606,2025-12-18,0.659217877094972,SEVERE,146401.578,146401.578,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,DEGRADED
DROUGHT,DISTRICT,SO2701,2025-12-18,0.7857142857142857,SEVERE,155202.188,155202.188,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,DEGRADED
DROUGHT,DISTRICT,SO2702,2025-12-18,0.7857142857142857,SEVERE,175561.312,175561.312,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,DEGRADED
DROUGHT,DISTRICT,SO2703,2025-12-18,0.7857142857142857,SEVERE,116252.719,116252.719,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,DEGRADED
DROUGHT,DISTRICT,SO2801,2025-12-18,0.659217877094972,SEVERE,360165.125,360165.125,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO2802,2025-12-18,0.4876543209876543,WARNING,284439.688,284439.688,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO2803,2025-12-18,0.4689655172413794,WARNING,75730.812,75730.812,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO2804,2025-12-18,0.6428571428571429,SEVERE,456211.312,456211.312,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,Unspecified,2025-12-18,0.3877551020408163,WARNING,288344.688,288344.688,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO2209,2024-03-20,0.2692307692307692,WATCH,202269.281,202269.281,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO2211,2025-12-18,0.3877551020408163,WARNING,255619.969,255619.969,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO2206,2024-02-17,0.3877551020408163,WARNING,28368.617,28368.617,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,DEGRADED
DROUGHT,DISTRICT,SO2201,2020-11-15,0.16346153846153846,WATCH,50111.906,50111.906,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO2213,2020-02-17,0.2692307692307692,WATCH,69824.867,69824.867,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,GOOD
