risk_type,geography_type,geography_id,as_of_date,risk_probability,risk_level,population_context,population_potentially_exposed,exposure_method,source_version,model_version,quality_status
DROUGHT,DISTRICT,SO1101,2024-04-21,0.010452961672473868,NORMAL,443194.656,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,DEGRADED
DROUGHT,DISTRICT,SO1102,2024-04-21,0.010452961672473868,NORMAL,68710.031,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,DEGRADED
DROUGHT,DISTRICT,SO1103,2024-04-21,0.016835016835016835,NORMAL,74691.516,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1104,2024-04-21,0.010452961672473868,NORMAL,66585.359,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1201,2024-04-21,0.010452961672473868,NORMAL,1084594.125,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1202,2024-04-21,0.016835016835016835,NORMAL,195668.516,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1203,2024-04-21,0.010452961672473868,NORMAL,211582.281,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1301,2024-04-21,0.016835016835016835,NORMAL,540051.688,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1302,2024-04-21,0.016835016835016835,NORMAL,96370.297,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1303,2024-04-21,0.010452961672473868,NORMAL,101812.781,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1304,2024-04-21,0.010452961672473868,NORMAL,150609.578,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,DEGRADED
DROUGHT,DISTRICT,SO1401,2024-04-21,0.024,NORMAL,274492.5,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1402,2024-04-21,0.010452961672473868,NORMAL,99959.281,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1403,2024-04-21,0.016835016835016835,NORMAL,96467.211,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1404,2024-04-21,0.010452961672473868,NORMAL,99611.672,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,DEGRADED
DROUGHT,DISTRICT,SO1501,2024-04-21,0.010452961672473868,NORMAL,183960.281,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1502,2024-04-21,0.010452961672473868,NORMAL,96602.281,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1503,2024-04-21,0.010452961672473868,NORMAL,161981.5,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,DEGRADED
DROUGHT,DISTRICT,SO1601,2024-04-21,0.010452961672473868,NORMAL,802999.062,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1602,2024-04-21,0.024,NORMAL,39622.098,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1603,2024-04-21,0.016835016835016835,NORMAL,66496.609,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1604,2024-04-21,0.016835016835016835,NORMAL,61618.594,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1605,2024-04-21,0.010452961672473868,NORMAL,62819.422,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1606,2024-04-21,0.016835016835016835,NORMAL,175103.156,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1701,2024-04-21,0.024,NORMAL,344608.938,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1702,2024-04-21,0.044642857142857144,NORMAL,135338.094,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1703,2024-04-21,0.016835016835016835,NORMAL,174090.703,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1801,2024-04-21,0.016835016835016835,NORMAL,855299.125,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1802,2024-04-21,0.016835016835016835,NORMAL,183752.938,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
