district_id,district_name,region_id,region_name,date,ndvi_mean,ndvi_median,evi_mean,evi_median,valid_pixel_fraction,good_pixel_count,marginal_pixel_fraction,cloudy_pixel_fraction,qa_rule,source_version
SO1102,Baki,SO11,Awdal,2022-07-12,0.12316582928146948,0.1091,0.08476874662344679,0.0786,0.9680962343096234,3702,0.014644351464435146,0.0007845188284518828,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO1101,Borama,SO11,Awdal,2022-07-12,0.1850823416506718,0.1812,0.12348327392377298,0.1222,0.9969928922908693,3647,0.0,0.0,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO1103,Lughaye,SO11,Awdal,2022-07-12,0.09432989439480097,0.0915,0.06970771730300569,0.06810000000000001,0.9332827899924185,3693,0.026029820571139752,0.0010108668182966893,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO1104,Zeylac,SO11,Awdal,2022-07-12,0.10141097798412461,0.09680000000000001,0.06948076980679947,0.0668,0.9070778426844178,6677,0.02323053932889553,0.002173617714984377,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2502,Ceel Barde,SO25,Bakool,2022-07-12,0.22014486486486487,0.2245,0.12596642958748222,0.1268,0.7862655183983894,7030,0.030421653058941952,0.0,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2505,Rab Dhuure,SO25,Bakool,2022-07-12,0.1584294065934066,0.15480000000000002,0.08794901098901099,0.09040000000000001,0.5994729907773386,2275,0.06350461133069829,0.0005270092226613965,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2503,Tayeeglow,SO25,Bakool,2022-07-12,0.2984613279592703,0.3022,0.1258952481968604,0.1241,0.6257799017655649,4714,0.10699588477366255,0.0,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2504,Waajid,SO25,Bakool,2022-07-12,0.23287265521796566,0.2262,0.12096693086745929,0.11960000000000001,0.7081384471468662,2271,0.11225444340505145,0.0,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2501,Xudur,SO25,Bakool,2022-07-12,0.22502094462540717,0.2199,0.11367742671009773,0.1129,0.4731083371860071,3070,0.18369548466635846,0.0,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
SO2201,Bondhere,SO22,Banadir,2022-07-12,,,,,0.0,0,0.0,0.7142857142857143,pixel_reliability=0 AND MODLAND_QA(bits0-1)=0 AND VI range -2000..10000,MOD13Q1 V061 Terra 250m 16-day
