variable,file,crs,width,height,resolution,bounds,nodata,valid_count,raw_min,raw_max,scaled_min,scaled_max,scale,offset
ndvi,raw\vegetation\modis_v061_sample\MOD13Q1.A2026193.h22v07.061.2026210035938__250m_16_days_NDVI.tif,"PROJCS[""unnamed"",GEOGCS[""Unknown datum based upon the custom spheroid"",DATUM[""Not specified (based on custom spheroid)"",SPHEROID[""Custom spheroid"",6371007.181,0]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]]],PROJECTION[""Sinusoidal""],PARAMETER[""longitude_of_center"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",4800,4800,"[231.65635826375006, 231.65635826374995]","[4447802.078667, 1111950.519667, 5559752.598333, 2223901.039333]",-3000.0,16871489,-2000.0,9944.0,-0.2,0.9944000000000001,0.0001,0.0
evi,raw\vegetation\modis_v061_sample\MOD13Q1.A2026193.h22v07.061.2026210035938__250m_16_days_EVI.tif,"PROJCS[""unnamed"",GEOGCS[""Unknown datum based upon the custom spheroid"",DATUM[""Not specified (based on custom spheroid)"",SPHEROID[""Custom spheroid"",6371007.181,0]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]]],PROJECTION[""Sinusoidal""],PARAMETER[""longitude_of_center"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",4800,4800,"[231.65635826375006, 231.65635826374995]","[4447802.078667, 1111950.519667, 5559752.598333, 2223901.039333]",-3000.0,16873335,-1896.0,8937.0,-0.18960000000000002,0.8937,0.0001,0.0
