date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
1996-02-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,282,0.11
1996-02-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,129,0.049
1996-03-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,288,0.11
1996-03-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,529,0.2
1996-03-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,269,0.1
1996-03-15,Banadir,Banadir,Bakaara,6634,2.05,45.32,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1250,0.48
1996-03-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1300,0.5
1996-03-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,4600,1.76
1996-03-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1100,0.42
1996-03-15,Juba Hoose,Kismaayo,Kismayo,2105,-0.36,42.55,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,3000,1.15
1996-03-15,Juba Hoose,Kismaayo,Kismayo,2105,-0.36,42.55,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,5250,2
1996-03-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,245,0.094
1996-03-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,400,0.15
1996-04-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,305,0.12
1996-04-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,688,0.26
1996-04-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,330,0.13
1996-04-15,Banadir,Banadir,Bakaara,6634,2.05,45.32,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1750,0.67
1996-04-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1333,0.51
1996-04-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,3533,1.35
1996-04-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1167,0.45
1996-04-15,Juba Hoose,Kismaayo,Kismayo,2105,-0.36,42.55,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,3250,1.24
1996-04-15,Juba Hoose,Kismaayo,Kismayo,2105,-0.36,42.55,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,4500,1.72
1996-04-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,402,0.15
1996-04-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,593,0.23
1996-04-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,354,0.14
1996-05-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,600,0.23
1996-05-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,1050,0.4
1996-05-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,459,0.18
1996-05-15,Banadir,Banadir,Bakaara,6634,2.05,45.32,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,2433,0.93
1996-05-15,Bari,Bossaso,Bossaso,1414,11.26,49.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,3400,1.3
1996-05-15,Bari,Bossaso,Bossaso,1414,11.26,49.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,3750,1.43
1996-05-15,Bari,Bossaso,Bossaso,1414,11.26,49.18,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,3500,1.34
1996-05-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1950,0.74
1996-05-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,4450,1.7
