path,extension,size_bytes,modified_utc,sha256,zero_byte,suspected_partial_download,date_from_filename,readable,error
CHIRPS_Rainfall/chirps-v3.0.rnl.2026.07.15.tif,.tif,17943778,2026-08-25T11:34:03.885182+00:00,efc8fd267dea0990fcbf053bf4e5a197f1efb73a73220137d8593ac2bf8f8bc7,False,False,2026-07-15,True,
CHIRPS_Rainfall/chirps-v3.0.rnl.2026.07.16.tif,.tif,18433620,2026-08-25T11:34:49.555043+00:00,6a6265d9df0755341aea78244022e4ff9c1d118f5444e57f28a82566a86b63ca,False,False,2026-07-16,True,
CHIRPS_Rainfall/chirps-v3.0.rnl.2026.07.17.tif,.tif,18317108,2026-08-25T11:35:16.859178+00:00,8afd1cdad775aeb6c5ba2a28dac876258dace8a54929ad0995c992e5d748a8de,False,False,2026-07-17,True,
CHIRPS_Rainfall/chirps-v3.0.rnl.2026.07.18.tif,.tif,18542946,2026-08-25T11:35:44.937604+00:00,ad387f4eeb4bc32b0d9768ce9eb2fc74a240ab654b129d398f60e3bf33087e09,False,False,2026-07-18,True,
CHIRPS_Rainfall/chirps-v3.0.rnl.2026.07.19.tif,.tif,18512370,2026-08-25T11:36:23.023843+00:00,0e40c04590aad903972fad6b2e3835233f678507ec515d4eea1e96a4e3e4076e,False,False,2026-07-19,True,
CHIRPS_Rainfall/chirps-v3.0.rnl.2026.07.20.tif,.tif,18466490,2026-08-25T11:36:53.634816+00:00,e300967b7cd246251ea45b892867cb55f492d364f5a9927e059e1b406654db71,False,False,2026-07-20,True,
CHIRPS_Rainfall/chirps-v3.0.rnl.2026.07.21.tif,.tif,19245822,2026-08-25T11:37:22.409172+00:00,a31b5d695486f0182ce24b309b8dbdc2a82d49ca1eccff662728b74f31ae4e9e,False,False,2026-07-21,True,
CHIRPS_Rainfall/chirps-v3.0.rnl.2026.07.22.tif,.tif,19620596,2026-08-25T11:37:51.865342+00:00,96205a7743577ea896de10de4b731a23ca21dfcd3682cd761b8ea0d1cda38cb5,False,False,2026-07-22,True,
CHIRPS_Rainfall/chirps-v3.0.rnl.2026.07.23.tif,.tif,19182588,2026-08-25T11:38:18.941597+00:00,545b398e87e9d4ec0af6f88cd25da7333d0495b9fea37b67652e98419f5b0e9f,False,False,2026-07-23,True,
CHIRPS_Rainfall/chirps-v3.0.rnl.2026.07.24.tif,.tif,19250484,2026-08-25T11:38:49.042227+00:00,944d8c0928fe3c11aed46be873f0fc86cf0dbb55a590ad55fd6d8ebb7e8d9f90,False,False,2026-07-24,True,
CHIRPS_Rainfall/chirps-v3.0.rnl.2026.07.25.tif,.tif,18956548,2026-08-25T11:39:49.749369+00:00,ef5d944c3ede1ffdee63158f5c2b889788d442b8883f2cca16695c655f5afcf7,False,False,2026-07-25,True,
CHIRPS_Rainfall/chirps-v3.0.rnl.2026.07.26.tif,.tif,19581290,2026-08-25T11:40:22.466878+00:00,0f9f42e9d715f64f4fdda73b53c1b2bffda07409d1a968327b848c1cc6fd2f51,False,False,2026-07-26,True,
