district_id,district_name,region_id,region_name,year,season,season_order,rainfall_mm,heavy_rain_days,valid_days,valid_pixel_fraction,baseline_mean_mm,baseline_std_mm,rainfall_anomaly_mm,rainfall_anomaly_z,percent_of_normal,source_version
SO1101,Borama,SO11,Awdal,2015,Deyr,4,35.207345602485596,0,92,1.0,45.11222595404802,32.84434271419157,-9.904880351562426,-0.3015703629009653,78.04391128548681,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1101,Borama,SO11,Awdal,2015,Gu,2,84.88580194134879,0,91,1.0,148.22706814760215,67.67285993796285,-63.341266206253366,-0.9359921579244567,57.26740938896589,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1101,Borama,SO11,Awdal,2015,Jilaal,1,35.06241905559757,0,90,1.0,37.272056253141855,38.20129885871623,-2.209637197544282,-0.05784193898004383,94.0715983509549,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1101,Borama,SO11,Awdal,2015,Xagaa,3,156.3138326146593,0,92,1.0,181.81549375061783,41.896911686512745,-25.50166113595853,-0.6086763942595774,85.97387900783792,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1101,Borama,SO11,Awdal,2016,Deyr,4,36.05574563238108,0,92,1.0,45.11222595404802,32.84434271419157,-9.056480321666939,-0.2757394294803094,79.92455453009123,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1101,Borama,SO11,Awdal,2016,Gu,2,261.2190383239669,2,91,1.0,148.22706814760215,67.67285993796285,112.99197017636476,1.6696792522134707,176.22897193368837,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1101,Borama,SO11,Awdal,2016,Jilaal,1,13.566266119719494,0,91,1.0,37.272056253141855,38.20129885871623,-23.70579013342236,-0.6205493227100971,36.397954616673246,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1101,Borama,SO11,Awdal,2016,Xagaa,3,130.5924315885955,0,92,1.0,181.81549375061783,41.896911686512745,-51.22306216202233,-1.2225975638799127,71.82689928929763,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1101,Borama,SO11,Awdal,2017,Deyr,4,7.941346225501896,0,92,1.0,45.11222595404802,32.84434271419157,-37.170879728546126,-1.1317285309072458,17.603534424550602,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1101,Borama,SO11,Awdal,2017,Gu,2,98.7691537144745,0,91,1.0,148.22706814760215,67.67285993796285,-49.457914433127655,-0.7308382485750827,66.6336823286026,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1101,Borama,SO11,Awdal,2017,Jilaal,1,61.13924200820756,0,90,1.0,37.272056253141855,38.20129885871623,23.867185755065705,0.6247741953313201,164.0350658224117,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1101,Borama,SO11,Awdal,2017,Xagaa,3,192.8183038375203,1,92,1.0,181.81549375061783,41.896911686512745,11.002810086902457,0.26261625604362693,106.05163501741725,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1101,Borama,SO11,Awdal,2018,Deyr,4,55.04397850921183,0,92,1.0,45.11222595404802,32.84434271419157,9.931752555163811,0.3023885313093035,122.01565616664635,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
