district_id,district_name,region_id,region_name,year,month,rainfall_mm,rainfall_daily_mean_mm,rainfall_daily_max_mm,heavy_rain_days,valid_days,valid_pixel_fraction,dry_spell_days_end,baseline_mean_mm,baseline_std_mm,rainfall_anomaly_mm,rainfall_anomaly_z,percent_of_normal,month_start,source_version,season,season_order
SO1101,Borama,SO11,Awdal,2015,1,3.700845075964324,0.1193820992246556,1.141577124595642,0,31,1.0,31,4.315515026938395,1.9368299761282142,-0.6146699509740712,-0.31735875556966353,85.75674172984763,2015-01-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Jilaal,1
SO1101,Borama,SO11,Awdal,2015,2,3.3062102294183693,0.11807893676494176,1.3083930015563965,0,28,1.0,59,3.8410565344715852,0.8932338397505301,-0.534846305053216,-0.5987752380749395,86.0755419699441,2015-02-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Jilaal,1
SO1101,Borama,SO11,Awdal,2015,3,28.05536375021488,0.9050117338778993,24.525074005126957,0,31,1.0,6,29.115484691731876,36.46295738595524,-1.0601209415169954,-0.029073915488965017,96.3589102062311,2015-03-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Jilaal,1
SO1101,Borama,SO11,Awdal,2015,4,1.467835091588267,0.04892783638627556,3.527956962585449,0,30,1.0,36,72.20267840525045,58.6934779847233,-70.73484331366218,-1.2051567864503276,2.032937176304984,2015-04-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Gu,2
SO1101,Borama,SO11,Awdal,2015,5,68.05776138670262,2.1954116576355687,24.846227645874023,0,31,1.0,1,60.83744157150207,33.76240347025109,7.220319815200554,0.2138568073674779,111.86821738174925,2015-05-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Gu,2
SO1101,Borama,SO11,Awdal,2015,6,15.360205463057891,0.5120068487685964,8.26913070678711,0,30,1.0,0,15.18694817084962,8.526313696554103,0.17325729220827135,0.02032030469138064,101.1408302066957,2015-06-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Gu,2
SO1101,Borama,SO11,Awdal,2015,7,13.78090908664209,0.44454545440780935,20.755807876586918,0,31,1.0,30,39.34995188067526,25.62036098389982,-25.569042794033173,-0.997996976315092,35.02141280485247,2015-07-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Xagaa,3
SO1101,Borama,SO11,Awdal,2015,8,66.1252159949735,2.1330714837088225,22.936037063598636,0,31,1.0,3,82.04405026233549,20.496746611026825,-15.918834267361987,-0.7766517569572716,80.59721062470517,2015-08-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Xagaa,3
SO1101,Borama,SO11,Awdal,2015,9,76.40770753304373,2.5469235844347913,35.936248779296875,0,30,1.0,2,60.42149160760707,18.317636959963274,15.986215925436667,0.8727226093833841,126.45783064949029,2015-09-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Xagaa,3
SO1101,Borama,SO11,Awdal,2015,10,2.9123005475508847,0.09394517895325434,4.028707504272461,0,31,1.0,33,25.469040087386453,24.178263524178604,-22.55673953983557,-0.9329346384730447,11.434669455772706,2015-10-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Deyr,4
SO1101,Borama,SO11,Awdal,2015,11,28.572841735908344,0.9524280578636115,25.31557846069336,0,30,1.0,24,15.607582001432798,15.999138546978484,12.965259734475547,0.8103723645123443,183.0702650371167,2015-11-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Deyr,4
SO1101,Borama,SO11,Awdal,2015,12,3.7222033190263644,0.12007107480730207,0.9776932001113892,0,31,1.0,55,4.035603865228772,2.238150278919385,-0.31340054620240787,-0.14002658764885204,92.23411026779156,2015-12-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Deyr,4
SO1101,Borama,SO11,Awdal,2016,1,3.7146588526421622,0.11982770492394072,0.9892558455467224,0,31,1.0,86,4.315515026938395,1.9368299761282142,-0.6008561742962328,-0.3102265979471073,86.07683739842044,2016-01-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Jilaal,1
SO1101,Borama,SO11,Awdal,2016,2,3.7959302629592857,0.13089414699859606,2.701097011566162,0,29,1.0,115,3.8410565344715852,0.8932338397505301,-0.04512627151229953,-0.05052010963322077,98.8251599239086,2016-02-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Jilaal,1
SO1101,Borama,SO11,Awdal,2016,3,6.055677004118045,0.19534441948767886,11.399945259094238,0,31,1.0,24,29.115484691731876,36.46295738595524,-23.05980768761383,-0.6324173720614329,20.798819144637893,2016-03-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Jilaal,1
SO1101,Borama,SO11,Awdal,2016,4,194.44408255798572,6.4814694185995245,54.9119758605957,2,30,1.0,0,72.20267840525045,58.6934779847233,122.24140415273527,2.0827084771591178,269.3031433912098,2016-04-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Gu,2
SO1101,Borama,SO11,Awdal,2016,5,57.534904110523875,1.8559646487265766,15.554859161376951,0,31,1.0,8,60.83744157150207,33.76240347025109,-3.3025374609781935,-0.09781701305382905,94.57153789562842,2016-05-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Gu,2
SO1101,Borama,SO11,Awdal,2016,6,9.2400516554573,0.30800172184857666,7.002203941345215,0,30,1.0,0,15.18694817084962,8.526313696554103,-5.94689651539232,-0.6974756884438522,60.842056952515264,2016-06-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Gu,2
SO1101,Borama,SO11,Awdal,2016,7,46.14645625665666,1.488595363117957,21.68680953979492,0,31,1.0,0,39.34995188067526,25.62036098389982,6.7965043759813994,0.26527746350851245,117.27195092027333,2016-07-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Xagaa,3
SO1101,Borama,SO11,Awdal,2016,8,54.32033834309814,1.7522689788096175,22.45470428466797,0,31,1.0,10,82.04405026233549,20.496746611026825,-27.723711919237346,-1.3525908499216437,66.20874782438105,2016-08-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Xagaa,3
SO1101,Borama,SO11,Awdal,2016,9,30.12563698884071,1.0041878996280238,24.874906539916992,0,30,1.0,0,60.42149160760707,18.317636959963274,-30.295854618766356,-1.6539171883897352,49.85914148641755,2016-09-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Xagaa,3
SO1101,Borama,SO11,Awdal,2016,10,8.93918720094011,0.288360877449681,9.332769393920898,0,31,1.0,9,25.469040087386453,24.178263524178604,-16.529852886446342,-0.6836658418383212,35.098249365775054,2016-10-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Deyr,4
SO1101,Borama,SO11,Awdal,2016,11,23.489924604455442,0.7829974868151814,19.52989387512207,0,30,1.0,0,15.607582001432798,15.999138546978484,7.882342603022645,0.49267293860088884,150.50329129969674,2016-11-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Deyr,4
SO1101,Borama,SO11,Awdal,2016,12,3.626633826985528,0.1169881879672751,1.3675439357757568,0,31,1.0,31,4.035603865228772,2.238150278919385,-0.4089700382432442,-0.1827267999361962,89.86595186492468,2016-12-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Deyr,4
SO1101,Borama,SO11,Awdal,2017,1,3.714660241994186,0.11982774974174794,0.8136637806892395,0,31,1.0,62,4.315515026938395,1.9368299761282142,-0.6008547849442092,-0.3102258806141246,86.0768695927707,2017-01-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Jilaal,1
SO1101,Borama,SO11,Awdal,2017,2,5.414235344888021,0.19336554803171505,2.0502724647521973,0,28,1.0,14,3.8410565344715852,0.8932338397505301,1.5731788104164357,1.7612172092089642,140.95692933175894,2017-02-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Jilaal,1
SO1101,Borama,SO11,Awdal,2017,3,52.01034642132535,1.677753110365334,32.47626876831055,0,31,1.0,2,29.115484691731876,36.46295738595524,22.894861729593476,0.6278937138108301,178.63465771564188,2017-03-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Jilaal,1
SO1101,Borama,SO11,Awdal,2017,4,8.936981147462905,0.29789937158209684,6.9535322189331055,0,30,1.0,2,72.20267840525045,58.6934779847233,-63.26569725778755,-1.0778999546466526,12.377631058646466,2017-04-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Gu,2
SO1101,Borama,SO11,Awdal,2017,5,81.43321479061375,2.6268778964714112,25.806781768798828,0,31,1.0,2,60.83744157150207,33.76240347025109,20.595773219111678,0.6100209434810865,133.85377932914145,2017-05-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Gu,2
SO1101,Borama,SO11,Awdal,2017,6,8.398957776397847,0.27996525921326154,6.0200700759887695,0,30,1.0,3,15.18694817084962,8.526313696554103,-6.787990394451773,-0.7961225256343933,55.30378902931342,2017-06-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Gu,2
SO1101,Borama,SO11,Awdal,2017,7,12.891583505296941,0.4158575324289336,6.229204177856445,0,31,1.0,2,39.34995188067526,25.62036098389982,-26.45836837537832,-1.0327086488752097,32.76137044433843,2017-07-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Xagaa,3
SO1101,Borama,SO11,Awdal,2017,8,102.16936533516062,3.2957859785535684,30.07384490966797,0,31,1.0,0,82.04405026233549,20.496746611026825,20.12531507282513,0.9818785124658822,124.52988974639176,2017-08-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Xagaa,3
SO1101,Borama,SO11,Awdal,2017,9,77.75735499706273,2.5919118332354243,33.95388412475586,1,30,1.0,0,60.42149160760707,18.317636959963274,17.335863389455668,0.9464028262677406,128.69155151289425,2017-09-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Xagaa,3
SO1101,Borama,SO11,Awdal,2017,10,3.425207030696686,0.11049054937731245,2.9406380653381348,0,31,1.0,31,25.469040087386453,24.178263524178604,-22.043833056689767,-0.9117211016682659,13.448512464327308,2017-10-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Deyr,4
SO1101,Borama,SO11,Awdal,2017,11,1.1615951139848952,0.038719837132829844,0.6713768839836121,0,30,1.0,61,15.607582001432798,15.999138546978484,-14.445986887447903,-0.9029227945635923,7.442505276462806,2017-11-01,CHIRPS v3 daily final rnl p25; district monthly aggregate,Deyr,4
