risk_type,geography_type,geography_id,as_of_date,risk_probability,risk_level,population_context,population_potentially_exposed,exposure_method,source_version,model_version,quality_status
FOOD_SECURITY,REGION,SO11,2025-06-01,0.3,WATCH,653181.562,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO12,2025-06-01,0.22499999999999998,NORMAL,1491844.922,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO13,2025-06-01,0.25,NORMAL,888844.344,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO14,2025-06-01,0.37499999999999994,WATCH,570530.664,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO15,2025-06-01,0.39999999999999997,WATCH,442544.062,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO16,2025-06-01,0.475,WATCH,1208658.941,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO17,2025-06-01,0.35000000000000003,WATCH,654037.735,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO18,2025-06-01,0.575,WARNING,1520143.844,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,GOOD
FOOD_SECURITY,REGION,SO19,2025-06-01,0.8999999999999999,SEVERE,821518.875,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,GOOD
FOOD_SECURITY,REGION,SO20,2025-06-01,0.35000000000000003,WATCH,519712.273,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,GOOD
FOOD_SECURITY,REGION,SO21,2025-06-01,0.44999999999999996,WATCH,1053066.297,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,GOOD
FOOD_SECURITY,REGION,SO22,2025-06-01,0.475,WATCH,3292852.184,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,GOOD
FOOD_SECURITY,REGION,SO23,2025-06-01,0.475,WATCH,1655323.367,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO24,2025-06-01,0.625,WARNING,1296980.906,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO25,2025-06-01,0.5,WATCH,563170.625,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO26,2025-06-01,0.3,WATCH,883606.04,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,GOOD
FOOD_SECURITY,REGION,SO27,2025-06-01,0.22499999999999998,NORMAL,447016.219,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO28,2025-06-01,0.325,WATCH,1176546.937,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,GOOD
